dialogueId,utteranceNo,authorRole,ENG_utterances,HIN_utterances,politeness,sentiment
MUL0623.json,6,user,I need a place to stay with a 4 star rating in the north please,कृपया मुझे उत्तर में 4 सितारा रेटिंग के साथ रहने के लिए जगह चाहिए,3,0
MUL0623.json,7,agent,"Certainly, there are 8 guesthouse type accommodations in the north area that are 4 stars. Does parking or wifi matter to you?"," निश्चित रूप से, उत्तर क्षेत्र में 8 गेस्टहाउस प्रकार के आवास हैं जो 4 सितारे हैं। क्या आपके लिए पार्किंग या वाईफाई मायने रखता है?",3,0
MUL0623.json,8,user,I am indifferent to parking but free wifi is a necessity.,मैं पार्किंग के प्रति उदासीन हूं लेकिन मुफ्त वाईफाई एक आवश्यकता है।,3,0
MUL0623.json,9,agent,"All the selections have wifi, 7 of the 8 hotels are moderately priced, but one is in the cheaply priced range."," सभी चयनों में वाईफाई है, 8 में से 7 होटलों की कीमत मामूली है, लेकिन एक सस्ती कीमत की सीमा में है।",3,0
MUL0623.json,10,user,"Great, book me one of those for 8 people. We'll stay from Friday for 5 nights. I'll need a reference number, please."," बढ़िया, मुझे उनमें से 8 लोगों के लिए बुक करें। हम शुक्रवार से 5 रात रुकेंगे। कृपया मुझे एक संदर्भ संख्या की आवश्यकता होगी।",3,0
MUL0623.json,11,agent,I booked you what you requested at the avalon hotel. Your reference number is J8LR3GIP. Can we help you with anything else?,"एवलॉन होटल में आपने जो अनुरोध किया था, मैंने आपको बुक किया था। आपकी संदर्भ संख्या J8LR3GIP है। क्या हम आपकी किसी और चीज में मदद कर सकते हैं?",3,1
MUL0623.json,12,user,"No, I appreciate your help!"," नहीं, मैं आपकी मदद की सराहना करता हूं!",3,2
MUL0623.json,13,agent,We are happy to help. Thank you for using our service.,मदद करके हमें खुशी होगी। हमारी सेवा का उपयोग करने के लिए धन्यवाद।,3,2
SNG1342.json,0,user,Can you help me book a train on Sunday?,क्या आप रविवार को ट्रेन बुक करने में मेरी मदद कर सकते हैं?,2,0
SNG1342.json,1,agent,Where is the destination?,गंतव्य कहाँ है?,2,0
SNG1342.json,2,user,I want to go to Ely.,मुझे एली जाना है।,2,0
SNG1342.json,3,agent,There are a number of trains leaving Cambridge for Ely on Sundays. Do you have a departure time in mind?,रविवार को कैंब्रिज से एली के लिए कई ट्रेनें रवाना होती हैं। क्या आपके मन में प्रस्थान का समय है?,2,0
SNG1342.json,4,user,I need it to leave after 08:15 please.,कृपया मुझे इसे 08:15 के बाद जाने की आवश्यकता है।,2,0
SNG1342.json,5,agent,can i book for you?,क्या मैं आपके लिए बुकिंग कर सकता हूँ?,2,0
SNG1342.json,6,user,Yes please book just one ticket for me.,हाँ कृपया मेरे लिए सिर्फ एक टिकट बुक करें।,2,0
SNG1342.json,7,agent,TR1159 leaves at 9:50 and the fee of 3.52 pounds is payable at the station. Is there anything else I can assist you with?,TR1159 9:50 पर निकलती है और स्टेशन पर 3.52 पाउंड का शुल्क देय है। क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूं?,2,0
SNG1342.json,8,user,"Yes, what is the reference number for the reservation?"," हाँ, आरक्षण के लिए संदर्भ संख्या क्या है?",2,0
SNG1342.json,9,agent,The reference # is T27B8DUJ. Is there anything else I can help with today?,संदर्भ # T27B8DUJ है। क्या आज मैं कुछ और मदद कर सकता हूँ?,2,0
SNG1342.json,10,user,No that is all for now. Thank you for all your help.,नहीं अभी के लिए बस इतना ही। आपकी मदद के लिए धन्यवाद।,2,2
SNG1342.json,11,agent,"Happy to be of help, and I hope you have a great day!"," मदद करने में खुशी हुई, और मुझे आशा है कि आपका दिन बहुत अच्छा हो!",2,2
DMAGE730.json,0,user,i need a  local restaurants,मुझे एक स्थानीय रेस्तरां चाहिए,2,0
DMAGE730.json,1,agent,The phone is 01223358966 .,फोन 01223358966 है।,2,0
DMAGE730.json,2,user,good,अच्छा,2,0
DMAGE730.json,3,agent,You are welcome . Is there anything else I can help you with today ?,आपका स्वागत है। क्या कोई और चीज है जिसमें मैं आज आपकी मदद कर सकता हूं?,2,2
DMAGE730.json,4,user,the restaurant must have international food,रेस्तरां में अंतरराष्ट्रीय भोजन होना चाहिए,2,0
DMAGE730.json,5,agent,It is in the east area . There are 3 restaurants in that area that fit that criteria . Would you like to try the missing sock ? It 's in the cheap price range .,यह पूर्वी क्षेत्र में है। उस क्षेत्र में 3 रेस्तरां हैं जो उस मानदंड के अनुरूप हैं। क्या आप लापता जुर्राब को आजमाना चाहेंगे? यह सस्ते मूल्य सीमा में है।,2,0
DMAGE730.json,6,user,good,अच्छा,2,0
DMAGE730.json,7,agent,I have booked you the missing sock. Booking was successful . Reference number is : 00000001 . Did you need any further assistance today ?,मैंने आपके लिए लापता जुर्राब बुक कर लिया है। बुकिंग सफल रही। संदर्भ संख्या है: 00000001। क्या आपको आज किसी और सहायता की आवश्यकता थी?,2,0
DMAGE730.json,8,user,the restaurant should be in  expensive price range.,रेस्तरां महंगे मूल्य सीमा में होना चाहिए।,2,0
DMAGE730.json,9,agent,Excellent . the missing sock is just your thing . Thank you for using our services . Did you need any further assistance today ?,उत्कृष्ट । गुम जुर्राब सिर्फ तुम्हारी बात है। हमारी सेवाओं का उपयोग करने के लिए धन्यवाद । क्या आपको आज किसी और सहायता की आवश्यकता थी?,2,2
DMAGE730.json,10,user,how can i get cheap restrurance,मुझे सस्ता रेस्टोरेंस कैसे मिल सकता है?,2,0
DMAGE730.json,11,agent,Would you like me to book it ? There 's a place called the missing sock. They are cheap.,क्या आप चाहते हैं कि मैं इसे बुक कर दूं? वहाँ एक जगह है जिसे लापता जुर्राब कहा जाता है। वे घटिया हैं।,2,0
DMAGE730.json,12,user,good,अच्छा,2,0
DMAGE730.json,13,agent,The phone number is 01223812660 .,फोन नंबर 01223812660 है।,2,0
DMAGE730.json,14,user,good,अच्छा,2,1
DMAGE730.json,15,agent,Did you need any further assistance today ?,क्या आपको आज किसी और सहायता की आवश्यकता थी?,2,0
DMAGE730.json,16,user,the restaurnat address.,रेस्टोरेंट का पता,2,0
DMAGE730.json,17,agent,They serve international food .,वे अंतरराष्ट्रीय भोजन परोसते हैं।,2,0
DMAGE730.json,18,user,good,अच्छा,2,1
DMAGE730.json,19,agent,The missing sock has some great reviews . Is there anything else I can help you with ?,लापता जुर्राब की कुछ बेहतरीन समीक्षाएं हैं। क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,2,2
DMAGE730.json,20,user,remain the reassurance location,आश्वासन स्थान बने रहें,2,0
DMAGE730.json,21,agent,What day would you like the booking to be made for ? For how many people ?,आप किस दिन के लिए बुकिंग कराना चाहेंगे ? कितने लोगों के लिए ?,2,0
DMAGE730.json,22,user,one p;erson,एक व्यक्ति,2,0
DMAGE730.json,23,agent,What day would you like the booking to be made for ?,आप किस दिन के लिए बुकिंग कराना चाहेंगे ?,2,0
DMAGE730.json,24,user,international food,अंतरराष्ट्रीय खाद्य,2,0
DMAGE730.json,25,agent,Would you like to book the the missing sock ?,क्या आप गुम हुए जुर्राब को बुक करना चाहेंगे?,2,0
DMAGE730.json,26,user,no,नहीं,2,0
DMAGE730.json,27,agent,Is there anything else I can help you with ?,क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,2,0
DMAGE730.json,28,user,just the address,बस पता,2,0
DMAGE730.json,29,agent,The address is Finders Corner Newmarket Road . There 's a place called the missing sock. Their phone number is 01223812660.,पता फाइंडर्स कॉर्नर न्यूमार्केट रोड है। वहाँ एक जगह है जिसे लापता जुर्राब कहा जाता है। इनका फोन नंबर 01223812660 है।,2,0
DMAGE730.json,30,user,thanks,धन्यवाद,2,2
DMAGE730.json,31,agent,"Ok , what day would you like to make the reservation on ?"," ठीक है, आप किस दिन आरक्षण करना चाहेंगे?",2,0
DMAGE730.json,32,user,any moment from now,अब से किसी भी क्षण,2,0
DMAGE730.json,33,agent,Is there anything else I can help you with ?,क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,2,0
DMAGE730.json,34,user,no,नहीं,2,0
DMAGE730.json,35,agent,"I ' ve located the missing sock , would you like me to assist you with booking ? Is there anything else I can help you with ?"," मैंने गुम जुर्राब का पता लगा लिया है, क्या आप चाहते हैं कि मैं बुकिंग में आपकी सहायता करूं? क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?",2,1
DMAGE730.json,36,user,no,नहीं,2,0
DMAGE730.json,37,agent,Shall I try to start and book you into one ? Did you need any further assistance today ?,क्या मैं आपको एक में शुरू करने और बुक करने का प्रयास करूंगा? क्या आपको आज किसी और सहायता की आवश्यकता थी?,2,0
DMAGE730.json,38,user,thanks,धन्यवाद,2,2
DMAGE730.json,39,agent,Okay ! Glad I could help . Enjoy your stay .,ठीक ! मुझे खुशी है कि मुझसे मदद हो सकी । यहां रहने का आनंद ।,2,2
PMUL0689.json,0,user,Hi. Can you help me find a restaurant?,नमस्ते। क्या आप मुझे एक रेस्तरां खोजने में मदद कर सकते हैं?,3,0
PMUL0689.json,1,agent,I sure can!  What kind of food are you looking for?,मुझसे बिलकुल हो जाएगा! आप किस प्रकार के भोजन की तलाश में हैं?,3,2
PMUL0689.json,2,user,I'm looking for an Italian restaurant.,मैं एक इटैलियन रेस्टोरेंट ढूंढ रहा हूं।,3,0
PMUL0689.json,3,agent,There are numbers of Italian restaurants. Are you looking for one in any particular area or price range?,कई इतालवी रेस्तरां हैं। क्या आप किसी विशेष क्षेत्र या मूल्य सीमा में एक की तलाश कर रहे हैं?,3,0
PMUL0689.json,4,user,I want one in the centre.,मुझे केंद्र में एक चाहिए।,3,0
PMUL0689.json,5,agent,"I would recommend the Pizza Express, a moderately priced restaurant located at Regent Street City Centre. Do you need to make a reservation?",मैं रीजेंट स्ट्रीट सिटी सेंटर में स्थित एक मामूली कीमत वाले रेस्तरां पिज्जा एक्सप्रेस की सिफारिश करूंगा। क्या आपको आरक्षण करने की आवश्यकता है?,3,0
PMUL0689.json,6,user,No thank you but I do need the phone number.," नहीं धन्यवाद, लेकिन मुझे फोन नंबर की जरूरत है।",3,0
PMUL0689.json,7,agent,The phone number is 01223324033.,फोन नंबर 01223324033 है।,3,0
PMUL0689.json,8,user,Great.  I am also looking for a train departing Leicester and arriving  before 10:15 at my destination.,महान। मैं लीसेस्टर से प्रस्थान करने वाली और अपने गंतव्य पर 10:15 से पहले पहुंचने वाली ट्रेन की भी तलाश कर रहा हूं।,3,2
PMUL0689.json,9,agent,What is your destination?,आपका गंतव्य क्या है?,3,0
PMUL0689.json,10,user,I will be going to Ely.,मैं एली जा रहा हूँ।,3,0
PMUL0689.json,11,agent,and what day are you traveling?,और आप किस दिन यात्रा कर रहे हैं?,3,0
PMUL0689.json,12,user,I'd like to go to Cambridge Friday.,मैं शुक्रवार को कैम्ब्रिज जाना चाहूंगा।,3,0
PMUL0689.json,13,agent,Train TR4390 leaves at 8:09 and arrives at 9:54. Would you like me to book it for you?,ट्रेन TR4390 8:09 पर निकलती है और 9:54 पर आती है। क्या आप चाहते हैं कि मैं इसे आपके लिए बुक करूं?,3,0
PMUL0689.json,14,user,No thank you that was all the info I needed today.," नहीं, धन्यवाद, वह सारी जानकारी थी जिसकी मुझे आज आवश्यकता थी।",3,2
PMUL0689.json,15,agent,Awesome. Glad to have been of help. Thank you for using the Cambridge TownInfo centre. Have a great day.,बहुत बढ़िया। मदद करके खुशी हुई। कैम्ब्रिज टाउनइन्फो केंद्र का उपयोग करने के लिए धन्यवाद। आपका दिन अच्छा रहे।,3,2
SSNG0037.json,0,user,I'm looking for a moderately-priced place to eat.,मैं खाने के लिए मामूली कीमत वाली जगह ढूंढ रहा हूं।,3,0
SSNG0037.json,1,agent,"Excellent, we have over 31 possible choices. Do you have a location or cuisine preference?"," बहुत बढ़िया, हमारे पास 31 से अधिक संभावित विकल्प हैं। क्या आपके पास कोई स्थान या व्यंजन वरीयता है?",3,2
SSNG0037.json,2,user,I am looking for a restaurant in the moderate price range in the centre of town.,मैं शहर के मध्य में एक मध्यम मूल्य श्रेणी में एक रेस्तरां की तलाश कर रहा हूँ।,3,0
SSNG0037.json,3,agent,I have 21 restaurants that fit that requirement. What type of food are you looking for? Or would you like my recommendation?,मेरे पास 21 रेस्तरां हैं जो उस आवश्यकता के अनुरूप हैं। आप किस प्रकार के भोजन की तलाश में हैं? या आप मेरी सिफारिश चाहेंगे?,3,0
SSNG0037.json,4,user,Can you give me your recommendation please.,क्या आप कृपया मुझे अपना सुझाव दे सकते हैं।,3,0
SSNG0037.json,5,agent,Restaurant One Seven serves British cuisine. Would you like me to book this for you?,रेस्तरां वन सेवन में ब्रिटिश व्यंजन परोसे जाते हैं। क्या आप चाहते हैं कि मैं इसे आपके लिए बुक करूं?,3,0
SSNG0037.json,6,user,Sure.  Can you book it for 2 people on Saturday at 11:30?,ज़रूर। क्या आप इसे शनिवार को 11:30 बजे 2 लोगों के लिए बुक कर सकते हैं?,3,0
SSNG0037.json,7,agent,"No, I'm sorry. I can't book that. Would you like to try another resturant?",नहीं मुझे माफ कर दो। मैं इसे बुक नहीं कर सकता। क्या आप किसी अन्य रेस्टोरेंट को आज़माना चाहेंगे?,3,1
SSNG0037.json,8,user,"Okay, how about another place in the same area and price range?"," ठीक है, उसी क्षेत्र और मूल्य सीमा में किसी अन्य स्थान के बारे में क्या?",3,0
SSNG0037.json,9,agent,"Yippee noodle bar was able to be booked, the reference number is 0Y6K4AF7.","यिप्पी नूडल बार बुक किया जा सका, संदर्भ संख्या 0Y6K4AF7 है।",3,0
SSNG0037.json,10,user,Thanks so much.  That will be all I need today.  Have a nice day. Bye.,बहुत बहुत धन्यवाद। आज मुझे बस यही चाहिए। आपका दिन शुभ हो। अलविदा।,3,2
SSNG0037.json,11,agent,You are very welcome. Thank you for contact Cambridge TownInfo centre.  Good Bye.,तुम्हारा बहुत स्वागत है। कैम्ब्रिज टाउनइन्फो सेंटर से संपर्क करने के लिए धन्यवाद। अलविदा।,3,2
SNG1048.json,0,user,I am looking for an expensive hotel with free parking.,मैं मुफ़्त पार्किंग वाला एक महँगा होटल ढूँढ रहा हूँ।,0,0
SNG1048.json,1,agent,We have 5 places that offer all of that. Any preference on star rating or area?,हमारे पास 5 स्थान हैं जो यह सब प्रदान करते हैं। स्टार रेटिंग या क्षेत्र पर कोई वरीयता?,0,0
SNG1048.json,2,user,"No, that's not important to me. But, I would prefer to stay in a guesthouse with free parking. "," नहीं, यह मेरे लिए महत्वपूर्ण नहीं है। लेकिन, मैं मुफ्त पार्किंग वाले गेस्टहाउस में रहना पसंद करूंगा।",0,0
SNG1048.json,3,agent,"Sorry, there are no guesthouse type expensive places with free parking. Perhaps you'd  prefer a different type or price range?","क्षमा करें, निःशुल्क पार्किंग के साथ कोई भी गेस्टहाउस जैसी महंगी जगह नहीं है। शायद आप कोई भिन्न प्रकार या मूल्य श्रेणी पसंद करेंगे?",2,1
SNG1048.json,4,user,Cheap would be fine as well.,सस्ता भी अच्छा होगा।,0,0
SNG1048.json,5,agent,"Sure, the Allenbell is a 4 star guesthouse.  Does that sound good?"," ज़रूर, एलेनबेल एक 4 सितारा गेस्टहाउस है। क्या यह अच्छा लगता है?",0,2
SNG1048.json,6,user,Yes. Can you make a reservation for 4 nights starting Wednesday? There are 5 people in my party.,हाँ। क्या आप बुधवार से 4 रातों के लिए आरक्षण कर सकते हैं? मेरी पार्टी में 5 लोग हैं।,0,0
SNG1048.json,7,agent,I've made your reservation. The reference number is E8NPWA4B. What else can I help you with?,मैंने आपका रिजर्वेशन करा लिया है। संदर्भ संख्या E8NPWA4B है। मैं आपकी और क्या मदद कर सकता हूं?,0,1
SNG1048.json,8,user,"That's all I needed, thanks so much for your help!"," मुझे बस इतना ही चाहिए, आपकी मदद के लिए बहुत बहुत धन्यवाद!",2,2
SNG1048.json,9,agent,"You're welcome, enjoy your stay!"," आपका स्वागत है, अपने प्रवास का आनंद लें!",2,2
PMUL4810.json,0,user,"I need a train to Norwich, leaving after 21:30."," मुझे नॉर्विच के लिए एक ट्रेन चाहिए, जो 21:30 के बाद निकलती है।",3,0
PMUL4810.json,1,agent,On what day will you be traveling on?,आप किस दिन यात्रा करेंगे?,3,0
PMUL4810.json,2,user,I am leaving on Thursday.,मैं गुरुवार को जा रहा हूं.,3,0
PMUL4810.json,3,agent,Where are you departing from please?,आप कृपया कहाँ से प्रस्थान कर रहे हैं?,3,0
PMUL4810.json,4,user,I'll be leaving from Cambridge,मैं कैम्ब्रिज से जा रहा हूँ,3,0
PMUL4810.json,5,agent,"ok, the TR9937 leaves at 21:36"," ठीक है, TR9937 21:36 . पर निकलेगा",3,0
PMUL4810.json,6,user,What would be the arrival time of that train?,उस ट्रेन के आने का समय क्या होगा?,3,0
PMUL4810.json,7,agent,The arrival time of the train TR9937 from cambridge to norwich  will be same Thursday by 22:55. Is that okay with you?,कैंब्रिज से नॉर्विच ट्रेन TR9937 के आगमन का समय वही गुरुवार 22:55 बजे तक होगा। क्या आपके आपके लिए सही है?,3,0
PMUL4810.json,8,user,What is the total travel time for this trip?,इस यात्रा के लिए कुल यात्रा का समय क्या है?,3,0
PMUL4810.json,9,agent,This trip is for 79 minutes and costs 17.60 pounds.  Would you like me to book this for you?,यह यात्रा 79 मिनट की है और इसकी कीमत 17.60 पाउंड है। क्या आप चाहते हैं कि मैं इसे आपके लिए बुक करूं?,3,0
PMUL0058.json,0,user,I would like to find an expensive hotel to stay in during my visit.,मैं अपनी यात्रा के दौरान ठहरने के लिए एक महँगा होटल ढूँढ़ना चाहता हूँ।,3,0
PMUL0058.json,1,agent,I can help with that. What area will you be staying in?,मैं इसमें मदद कर सकता हूं। आप किस क्षेत्र में रहेंगे?,3,0
PMUL0058.json,2,user,The area does not matter. But will for sure want it to be an actual hotel.,क्षेत्र कोई फर्क नहीं पड़ता। लेकिन निश्चित रूप से यह एक वास्तविक होटल बनना चाहेगा।,3,0
PMUL0058.json,3,agent,I have the in the Huntington Marriott hotel city center that is rated 4 stars and include free parking and free wifi. Would you like me to check availabiltiy?,मेरे पास हंटिंगटन मैरियट होटल शहर के केंद्र में है जिसे 4 सितारों का दर्जा दिया गया है और इसमें मुफ्त पार्किंग और मुफ्त वाईफाई शामिल है। क्या आप चाहते हैं कि मैं उपलब्धता की जांच करूं?,3,0
PMUL0058.json,4,user,"Yes, please book it if possible."," हाँ, यदि संभव हो तो कृपया इसे बुक करें।",3,0
PMUL0058.json,5,agent,What day would you like to leave,आप किस दिन छोड़ना चाहेंगे,3,0
PMUL0058.json,6,user,I don't want to leave. I want to stay for 3 nights starting on Tuesday. There will be 6 of us.,मैं नहीं छोड़ना चाहता। मैं मंगलवार से शुरू होने वाली 3 रातों के लिए रुकना चाहता हूं। हम में से 6 होंगे।,3,0
PMUL0058.json,7,agent,And you never have to leave if you don't want to. I have booked a reservation at Huntingdon Marriott Hotel and the reference number is EQNKY1ZC. Anything else?,और अगर आप नहीं चाहते हैं तो आपको कभी नहीं छोड़ना होगा। मैंने हंटिंगडन मैरियट होटल में आरक्षण बुक किया है और संदर्भ संख्या EQNKY1ZC है। और कुछ?,3,0
PMUL0058.json,8,user,"Yes, are there any moderately priced northern european restaurant, if no northern european, modern european will do.","हां, क्या कोई मामूली कीमत वाला उत्तरी यूरोपीय रेस्तरां है, अगर कोई उत्तरी यूरोपीय, आधुनिक यूरोपीय नहीं करेगा।",3,0
PMUL0058.json,9,agent,There are 3 restaurants matching your query. Do you prefer the south or the centre?,आपकी क्वेरी से मेल खाने वाले 3 रेस्तरां हैं। क्या आप दक्षिण या केंद्र पसंद करते हैं?,3,0
PMUL0058.json,10,user,"I would like the restaurant in the same area, Cambridge, please."," मुझे उसी क्षेत्र में रेस्तरां चाहिए, कैम्ब्रिज, कृपया।",3,0
PMUL0058.json,11,agent,And would you prefer the south of Cambridge or the centre of Cambridge?,और क्या आप कैम्ब्रिज के दक्षिण में या कैम्ब्रिज के केंद्र को पसंद करेंगे?,3,0
PMUL0058.json,12,user,I'm not picky with the area. I just want it to be moderately priced.,मैं क्षेत्र के साथ picky नहीं हूँ। मैं सिर्फ यह चाहता हूं कि इसकी कीमत मामूली हो।,3,0
PMUL0058.json,13,agent,"I'm sorry, there are no moderately priced hotels in this area. Would you like to try another?"," मुझे खेद है, इस क्षेत्र में कोई मामूली कीमत वाला होटल नहीं है। क्या आप दूसरा प्रयास करना चाहेंगे?",3,1
PMUL0058.json,14,user,I was looking for a restaurant.  I already have a hotel reservation,मैं एक रेस्तरां की तलाश में था। मेरे पास पहले से ही एक होटल आरक्षण है,3,1
PMUL0058.json,15,agent,There are a couple in the centre area and one in the south area. Do you have a preference?,मध्य क्षेत्र में एक युगल और दक्षिण क्षेत्र में एक है। क्या आपकी कोई प्राथमिकता है?,3,0
PMUL0058.json,16,user,"I would like one that serves northern european food, if possible.",मुझे वह चाहिए जो यदि संभव हो तो उत्तरी यूरोपीय भोजन परोसता है।,3,1
PMUL0058.json,17,agent,"We have quite a few choices for you today, how about de luca cucina and bar, you can a few drinks while your there!"," आज हमारे पास आपके लिए कुछ विकल्प हैं, डी लुका कुकिना और बार के बारे में, आप वहां रहते हुए कुछ पेय ले सकते हैं!",3,0
PMUL0058.json,18,user,Thats sounds great. can i get the area and address ?,यह सुनने में अच्छा लग रहा है। क्या मुझे क्षेत्र और पता मिल सकता है?,3,2
PMUL0058.json,19,agent,The area is the centre. The address is 83 Regent Street. Is there anything else I can help you with?,क्षेत्र केंद्र है। पता 83 रीजेंट स्ट्रीट है। क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,3,0
PMUL0058.json,20,user,I'll need a taxi that leaves the restaurant by 22:00.,मुझे 22:00 बजे तक रेस्त्रां से निकलने वाली टैक्सी की आवश्यकता होगी।,3,0
PMUL0058.json,21,agent,Will you be going back to the hotel or somewhere else?,क्या आप वापस होटल जा रहे होंगे या कहीं और?,3,0
PMUL0058.json,22,user,The hotel I guess.,मुझे लगता है कि होटल।,3,0
PMUL0058.json,23,agent,Great. I was able to book your car with no issues. They will be driving a black Tesla and you will be able to contact them at 07224648595.,महान। मैं आपकी कार को बिना किसी समस्या के बुक करने में सक्षम था। वे काली टेस्ला चला रहे होंगे और आप उनसे 07224648595 पर संपर्क कर सकेंगे।,3,2
PMUL0058.json,24,user,Great I believe that covers everything. Goodbye.," बढ़िया, मेरा मानना है कि इसमें सब कुछ शामिल है। अलविदा।",3,2
PMUL0058.json,25,agent,Thanks for contacting us today. Have a great day and trip. Goodbye.,आज हमसे संपर्क करने के लिए धन्यवाद। आपका दिन और यात्रा शुभ हो। अलविदा।,3,2
PMUL0637.json,0,user,"Hi, I am traveling to Cambridge and am interested in local restaurants. "," नमस्ते, मैं कैम्ब्रिज की यात्रा कर रहा हूं और मुझे स्थानीय रेस्तरां में दिलचस्पी है।",0,0
