ENG_utterances,HIN_utterances,politeness,sentiment
"Thank you for using our live chat service. I'm now closing this chat. If you have any other concerns in the future, please don’t hesitate to let us know. Have a great day!
"," हमारी लाइव चैट सेवा का उपयोग करने के लिए धन्यवाद। मैं अब इस चैट को बंद कर रहा हूं। यदि भविष्य में आपकी कोई अन्य चिंता है, तो कृपया हमें बताने में संकोच न करें। आपका दिन अच्छा रहे!",3,2
2556,2556,0,0
I want close my account, मुझे अपना खाता बंद करना है,2,1
7786,7786,0,0
"I highly appreciate your patience, I would like to inform you that I've blocked your present card and issued a new card which will be delivered to you within next 2 days. "," मैं आपके धैर्य की बहुत सराहना करता हूं, मैं आपको सूचित करना चाहता हूं कि मैंने आपका वर्तमान कार्ड ब्लॉक कर दिया है और एक नया कार्ड जारी किया है जो अगले 2 दिनों के भीतर आपको वितरित कर दिया जाएगा।",3,2
Thank you. To get your bank details I would need your last 4 digits of SSN., शुक्रिया। आपका बैंक विवरण प्राप्त करने के लिए मुझे आपके एसएसएन के अंतिम 4 अंकों की आवश्यकता होगी।,3,0
Thank you for sharing the information. I've processed the request for the change of address. You'll shortly receive a confirmation E-mail., जानकारी साझा करने के लिए धन्यवाद। मैंने पते में परिवर्तन के अनुरोध को संसाधित कर लिया है। आपको शीघ्र ही एक पुष्टिकरण ई-मेल प्राप्त होगा।,3,2
Perfect! Could you please help me out with your new address for me to update in the portal?,उत्तम! क्या आप मुझे पोर्टल में अपडेट करने के लिए अपने नए पते के साथ मेरी मदद कर सकते हैं?,3,2
How may I help you today?, आज मैं आपकी कैसे मदद कर सकता हूँ?,2,0
Okay and also would you please share your new address?, ठीक है और क्या आप कृपया अपना नया पता भी साझा करेंगे?,3,0
MY FRIEND ACCOUNT, मेरा मित्र खाता,1,0
hi, नमस्ते,2,0
I filled report..They not give answer properly, मैंने रिपोर्ट भर दी..वे ठीक से जवाब नहीं देते,2,1
4682,4682,0,0
"Surely I will help you. Please help me with the last four digits of the account number you would like the amount to be transferred to.
", ज़रूर मैं आपकी मदद करूँगा। कृपया उस खाता संख्या के अंतिम चार अंकों के बारे में मेरी सहायता करें जिसमें आप राशि हस्तांतरित करना चाहते हैं।,3,0
I really appreciate that. Upon your request I've blocked the card. You'll be receiving a confirmation e-mail shortly. Is there anything I could help you with today?, मैं वास्तव में उसकी सराहना करता हूँ। आपके अनुरोध पर मैंने कार्ड को ब्लॉक कर दिया है। आपको शीघ्र ही एक पुष्टिकरण ई-मेल प्राप्त होगा। क्या आज मैं आपकी कुछ मदद कर सकता हूँ?,3,2
"Thank you for your valuable information. As I've checked I see that the account balance of the account ending with 6383 is $100.
"," आपकी बहुमूल्य जानकारी के लिए धन्यवाद। जैसा कि मैंने जाँच की है, मैंने देखा कि 6383 के साथ समाप्त होने वाले खाते का खाता शेष 100 डॉलर है।",3,2
"I appreciate for holding on, your request has been successful. "," मैं रुकने के लिए सराहना करता हूं, आपका अनुरोध सफल रहा है।",3,2
Thanks! Please could you share with me the account number and also your SSN number?, धन्यवाद! क्या आप मेरे साथ खाता संख्या और अपना एसएसएन नंबर साझा कर सकते हैं?,3,0
HELLO, नमस्ते,2,0
"Hi there, how may I help you today?"," नमस्ते, मैं आज आपकी कैसे मदद कर सकता हूं?",3,0
8712,8712,0,0
"Hello, Alex!", हैलो एलेक्स!,3,0
Right now no quires, अभी कोई पूछताछ नहीं,1,0
"Awesome! Also, may I please know the last four digits of your account number?","बहुत बढ़िया! साथ ही, क्या मैं आपकी खाता संख्या के अंतिम चार अंक जान सकता हूं?",3,2
This is James, यह जेम्स है,2,0
"My pleasure. Anything else I may help you out with?
", मेरा सौभाग्य। कुछ और मैं आपकी मदद कर सकता हूं?,3,2
"Hey! I'd like to inform you that according to our banks policy you'll have to file a police complaint about it, then we will be able to proceed further with the procedure. However, after filing the report, please feel free to contact us at anytime, We'll block your card right away.
"," अरे! मैं आपको सूचित करना चाहता हूं कि हमारी बैंक नीति के अनुसार आपको इसके बारे में पुलिस शिकायत दर्ज करनी होगी, फिर हम प्रक्रिया के साथ आगे बढ़ने में सक्षम होंगे। हालांकि, रिपोर्ट दर्ज करने के बाद, कृपया बेझिझक हमसे किसी भी समय संपर्क करें, हम आपका कार्ड तुरंत ब्लॉक कर देंगे।",3,1
fine, ठीक,1,2
"Account number 625837516987256 and  SSN number 36589675.
", खाता संख्या 625837516987256 और एसएसएन संख्या 36589675।,0,0
Okay thank you for your help, ठीक है आपकी मदद के लिए धन्यवाद,3,2
my account number is 2356 please tell my routing number, मेरा खाता नंबर 2356 है कृपया मेरा रूटिंग नंबर बताएं,2,0
BYE, अलविदा,2,0
The last four digits of SSN is 4538, SSN के अंतिम चार अंक 4538 . होते हैं,1,0
"Hello there, How may I help you today?
"," नमस्ते, मैं आज आपकी कैसे मदद कर सकता हूँ?",3,0
"Thank you for your valuable information. As I've checked, I see that the account balance of the account ending with 8569 is $2000. "," आपकी बहुमूल्य जानकारी के लिए धन्यवाद। जैसा कि मैंने जाँच की है, मैंने देखा कि 8569 के साथ समाप्त होने वाले खाते की शेष राशि $2000 है।",3,2
4860,4860,0,0
Perfect! Is there anything I could assist you with?, उत्तम! क्या कोई ऐसी चीज है जिसमें मैं आपकी सहायता कर सकता हूं?,3,2
"87/23, bangalore street "," 87/23, बंगलौर स्ट्रीट",0,0
What are you doing?, आप क्या कर रहे हो?,0,0
OK.thanks, ठीक है धन्यवाद,2,0
Thank You very much..I am really happy now!, बहुत बहुत धन्यवाद..मैं अब बहुत खुश हूँ!,3,2
It was wonderful talking to you. Have a great day,आपसे बात करके बहुत अच्छा लगा। आपका दिन अच्छा रहे,3,2
With pleasure..Have a nice day!, खुशी के साथ..आपका दिन शुभ हो!,2,2
Yes, हाँ,2,0
7.31569E+15,7.31569E+15,0,0
"Chloe Garrett
", क्लो गैरेट,0,0
"Awesome.I have processed the request and the charge has been removed. I do apologize for the inconvenience caused.
", बहुत बढ़िया।मैंने अनुरोध संसाधित कर दिया है और शुल्क हटा दिया गया है। हुई असुविधा के लिए मुझे खेद है।,3,2
"hai, my card missing so close that one"," है, मेरा कार्ड इतना करीब से गायब है कि एक",2,0
Thank you. Give me just a moment while I update that for you!," शुक्रिया। जब तक मैं इसे आपके लिए अपडेट करता हूं, मुझे बस एक क्षण दें!",3,0
I want help to resolve the issues for my credit card lost, मुझे अपने क्रेडिट कार्ड के गुम होने की समस्या का समाधान करने में सहायता चाहिए,2,0
Thank you very much, आपका बहुत बहुत धन्यवाद,3,2
"Perfect. Could you please provide me your complete credit card number.
", उत्तम। क्या आप कृपया मुझे अपना पूरा क्रेडिट कार्ड नंबर प्रदान कर सकते हैं।,3,2
"Thank you Raja, Is there anything else I could assist you with?"," धन्यवाद राजा, क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूँ?",3,0
5486,5486,0,0
hello, नमस्ते,2,0
I'm glad I was of help! Is there anything else I may assist you with?, मुझे खुशी है कि मैं मददगार था! क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूं?,3,2
2156,2156,0,0
Would there be anything else I may help you with?, क्या कुछ और होगा जिसमें मैं आपकी मदद कर सकूं?,2,0
Joe Smith, जो स्मिथ,0,0
It was wonderful talking to you. Have a great day,आपसे बात करके बहुत अच्छा लगा। आपका दिन अच्छा रहे,3,2
Thank you very much for alerting us about this. We will help you get this issue resolved., हमें इसके बारे में सचेत करने के लिए आपका बहुत-बहुत धन्यवाद। हम इस मुद्दे को हल करने में आपकी मदद करेंगे।,3,1
Catylin Carney, कैटिलिन कार्नी,0,0
May I know your name please?, क्या मैं आपका नाम जान सकता हूँ?,3,0
"Awesome! Also, may I please know the last four digits of your SSN?"," बहुत बढ़िया! साथ ही, क्या मैं कृपया आपके SSN के अंतिम चार अंक जान सकता हूँ?",3,2
sir remove wrong bill credit  on my credit card,सर मेरे क्रेडिट कार्ड से गलत बिल क्रेडिट हटा दें,1,0
"Thanks Ramya. To pull up the information I will require your last 4 digits of the SSN.
", धन्यवाद राम्या। जानकारी प्राप्त करने के लिए मुझे आपके एसएसएन के अंतिम 4 अंकों की आवश्यकता होगी।,3,0
YOUR CARD NUMBER, आपका कार्ड नंबर,0,0
THANK YOU, धन्यवाद,3,2
thanujan krishnan, तनुजन कृष्णन,0,0
15-06-2018,15-06-2018,0,0
yes, हां,2,0
Hai..., है...,2,0
You're welcome. Is there anything else I could help you with?, आपका स्वागत है। क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,2,2
HI..., नमस्ते...,3,0
"Awesome.I have processed the request and the charge has been removed. I do apologize for the inconvenience caused.
", बहुत बढ़िया।मैंने अनुरोध संसाधित कर दिया है और शुल्क हटा दिया गया है। हुई असुविधा के लिए मुझे खेद है।,3,2
"Sorry, there is a mistake. The number is 35/1"," क्षमा करें, गलती हुई है। संख्या 35/1 . है",2,0
I wanted to know whetehr new lower rates as shown in commercial available to me, मैं जानना चाहता था कि मेरे लिए उपलब्ध वाणिज्यिक में दिखाए गए अनुसार नई कम दरें क्या हैं,2,0
My last credit card bill was charged extra.., मेरा पिछला क्रेडिट कार्ड बिल अतिरिक्त चार्ज किया गया था..,1,1
Thank you for waiting patiently the address will be changed shorty and it'll take up to 2 hours for the changes to be effective and you'll get a confirmation email about the same," धैर्यपूर्वक प्रतीक्षा करने के लिए धन्यवाद, पता संक्षिप्त रूप से बदल दिया जाएगा और परिवर्तनों को प्रभावी होने में 2 घंटे तक का समय लगेगा और आपको इसके बारे में एक पुष्टिकरण ईमेल प्राप्त होगा",3,1
Thank you for the information. I’ve updated the address. You’ll receive a confirmation message in a while. Is there anything else I can help you with?, जानकारी के लिए धन्यवाद। मैंने पता अपडेट कर दिया है। आपको थोड़ी देर में एक पुष्टिकरण संदेश प्राप्त होगा। क्या कुछ और है जिसमें मैं आपकी मदद कर सकता हूं?,3,0
No, नहीं,1,0
And could you also share the date when you used your card for the last time?, और क्या आप उस तारीख को भी साझा कर सकते हैं जब आपने आखिरी बार अपने कार्ड का इस्तेमाल किया था?,2,0
Great! Lastly I'll require the time of charge., महान! अंत में मुझे चार्ज के समय की आवश्यकता होगी।,3,2
That's great! Please could you also share the account number to which you would like to transfer?,एक दम बढ़िया! कृपया क्या आप उस खाता संख्या को भी साझा कर सकते हैं जिसमें आप स्थानांतरित करना चाहते हैं?,3,2
Thank you for waiting patiently your account balance is $3000," धैर्यपूर्वक प्रतीक्षा करने के लिए धन्यवाद, आपके खाते की शेष राशि $3000 है",3,0
Hi I wanted to close my account, नमस्ते मैं अपना खाता बंद करना चाहता था,3,0
30000,30000,0,0
Nothing else, और कुछ नहीं,2,0
5.55556E+15,5.55556E+18,0,0
ok thank you, ठीक है धन्यवाद,3,0
I want transfer money to another account, मुझे दूसरे खाते में पैसे ट्रांसफर करना है,1,1
Hi.  I see a charge on my statement that I didn't make., नमस्ते। मैं अपने बयान पर एक आरोप देखता हूं जो मैंने नहीं किया।,3,1
CARD NO  - 6645 SSN - 8631, कार्ड नंबर - 6645 एसएसएन - 8631,1,0
OK, ठीक है,2,0
Sure. I'll help you with that. Could you please help me with your name and the four digits of SSN?, ज़रूर। मैं इसमें आपकी मदद करूंगा। क्या आप कृपया मुझे अपने नाम और एसएसएन के चार अंकों के साथ मदद कर सकते हैं?,3,0
Sure! I'll right away update that. Can you give the correct number?, ज़रूर! मैं इसे तुरंत अपडेट कर दूंगा। क्या आप सही नंबर दे सकते हैं?,3,0
20th 80$, 20वां 80$,0,0
joshep r cool, जोशेप आर कूल,3,0
Could you please let me know the name?, क्या आप कृपया मुझे नाम बता सकते हैं?,3,0
"Sure thing, May i know your name and the account number?"," ज़रूर, क्या मैं आपका नाम और खाता संख्या जान सकता हूँ?",2,0
"Sure, I'll be happy to do that for you. May I know your name?"," ज़रूर, मुझे आपके लिए ऐसा करने में खुशी होगी। मैं आपका नाम जान सकता हुँ?",3,0
thank you bye, अलविदा धन्यवाद,3,0
Thank you for the details. Kindly give me a minute., विवरण के लिए धन्यवाद। कृपया मुझे एक मिनट दें।,3,2
Thanks. To get your bank details I would need your last 4 digits of SSN., धन्यवाद। आपका बैंक विवरण प्राप्त करने के लिए मुझे आपके एसएसएन के अंतिम 4 अंकों की आवश्यकता होगी।,3,0
ok boy thank u, ओके बॉय थैंक यू,3,2
Goodbye friend., अलविदा दोस्त।,2,0
"Your welcome, would there be anything else I may help you with today? ","आपका स्वागत है, क्या आज मैं आपकी कुछ और मदद कर सकता हूँ?",3,0
Surely I will help you. May I please know your first and last name?, ज़रूर मैं आपकी मदद करूँगा। क्या मैं आपका पहला और अंतिम नाम जान सकता हूँ?,3,0
NAME- PRIYANKA ACCOUNT NUMBER- 4567 SSN NUMBER - 7890, नाम- प्रियंका अकाउंट नंबर- 4567 एसएसएन नंबर- 7890,0,0
I’m glad I could resolve this for you. Have a great day., मुझे खुशी है कि मैं इसे आपके लिए हल कर सका। आपका दिन अच्छा रहे।,3,2
hi..gud mrng, नमस्ते..गुड मृंग,3,0
ya.., हाँ..,2,0
06/16/018, 06/16/018,0,0
"Sure thing, could you please help me out with your full name and last 4 digits of your SSN?"," निश्चित रूप से, क्या आप कृपया अपना पूरा नाम और अपने एसएसएन के अंतिम 4 अंकों के साथ मेरी मदद कर सकते हैं?",3,0
kavitha, कविता,0,0
Nothing else, और कुछ नहीं,2,0
no, नहीं,1,1
HI, नमस्ते,2,0
$200, $200,0,0
got the a/c number to which a/c u need to tranfer, a/c नंबर मिला है जिस पर a/cu को स्थानांतरित करने की आवश्यकता है,2,0
reply  me, मुझे उत्तर दें,0,0
"hello there, Good morning! "," नमस्ते वहाँ, सुप्रभात!",3,0
No thanks. I need your help means i will call you.," जी नहीं, धन्यवाद। मुझे आपकी मदद की जरूरत है यानी मैं आपको फोन करूंगा।",3,1
Account number:5463, खाता संख्या: 5463,0,0
"Raymond Samuel
", रेमंड सैमुअल,0,0
"MY ADDRESS IS 98, GREEN WAY STREET CA 56213"," मेरा पता 98 है, ग्रीन वे स्ट्रीट सीए 56213",1,0
Thank you so much for bringing this to our notice. I'll ensure that I'll raise a request to delete the charge and kindly give us 24-48 hours to get this resolved. You will also be receiving a confirmation e-mail once this is resolved. Is there anything else I might help you with today?, इसे हमारे संज्ञान में लाने के लिए आपका बहुत-बहुत धन्यवाद। मैं यह सुनिश्चित करूंगा कि मैं शुल्क हटाने का अनुरोध करूंगा और कृपया इसे हल करने के लिए हमें 24-48 घंटे का समय दें। इसका समाधान हो जाने पर आपको एक पुष्टिकरण ई-मेल भी प्राप्त होगा। क्या आज मैं आपकी कुछ और मदद कर सकता हूँ?,3,1
69$, 69$,0,0
"Sure! I'd be glad to assist you on this. Could you please let me know your name, last 4 digits of SSN and credit card number?","ज़रूर! मुझे इसमें आपकी सहायता करने में खुशी होगी। क्या आप कृपया मुझे अपना नाम, एसएसएन के अंतिम 4 अंक और क्रेडिट कार्ड नंबर बता सकते हैं?",3,0
"I’m sorry this has happened. I understand you're upset, and I will do my best to help you. Please provide me your name."," मुझे खेद है कि ऐसा हुआ है। मैं समझता हूँ कि आप परेशान हैं, और मैं आपकी मदद करने की पूरी कोशिश करूँगा। कृपया मुझे अपना नाम प्रदान करें।",3,1
The account number ending with 8623 has $2222 has account balance., 8623 के साथ समाप्त होने वाली खाता संख्या में 2222 डॉलर का खाता शेष है।,0,0
Hey! How may I help you today?, अरे! आज मैं आपकी कैसे मदद कर सकता हूँ?,3,0
Don't worry. I have cancelled your card and a new card will be issued shortly. You would be receiving a confirmation message regarding this. As there is no response from your end. The chat will get disconnected within 30 seconds automatically., चिंता मत करो। मैंने आपका कार्ड रद्द कर दिया है और जल्द ही एक नया कार्ड जारी किया जाएगा। आपको इसके बारे में एक पुष्टिकरण संदेश प्राप्त होगा। चूंकि आपकी तरफ से कोई जवाब नहीं आया है। चैट 30 सेकंड के भीतर अपने आप डिस्कनेक्ट हो जाएगी।,2,1
I'll help you with that. May I know your name please?, मैं इसमें आपकी मदद करूंगा। क्या मैं आपका नाम जान सकता हूँ?,3,0
im Eric and my ssn is 1010, मैं एरिक हूं और मेरा एसएसएन 1010 है,2,0
May I ask if you have filed a police report?, क्या मैं पूछ सकता हूं कि क्या आपने पुलिस रिपोर्ट दर्ज की है?,2,0
"Thanks. Furthermore I will also require the last four digits of your account number.
", धन्यवाद। इसके अलावा मुझे आपके खाता संख्या के अंतिम चार अंकों की भी आवश्यकता होगी।,3,0
no, नहीं,1,1
328,328,0,0
I'm good thank you!," मैं अच्छा हूँ, धन्यवाद!",3,2
HI, नमस्ते,2,0
2354,2354,0,0
Thanks Jhony. Could you please share your complete credit card number?, धन्यवाद जॉनी। क्या आप कृपया अपना पूरा क्रेडिट कार्ड नंबर साझा कर सकते हैं?,3,0
6509,6509,0,0
"ok, "," ठीक है,",2,0
May I know your new address as well., क्या मैं आपका नया पता भी जान सकता हूँ।,3,0
You're always welcome., आपका हमेशा स्वागत है।,3,2
I'd also require the complete 16 digit credit card number.,मुझे पूरे 16 अंकों के क्रेडिट कार्ड नंबर की भी आवश्यकता होगी।,0,0
"Could you please help me with your full name, the last four digits of your SSN and your credit card number?"," क्या आप कृपया अपना पूरा नाम, अपने एसएसएन के अंतिम चार अंक और अपने क्रेडिट कार्ड नंबर के साथ मेरी मदद कर सकते हैं?",3,0
"Sure, no problem with that. What's the amount you would want to transfer?"," ज़रूर, इससे कोई समस्या नहीं है। आप कितनी राशि ट्रांसफर करना चाहेंगे?",2,0
and to move to 5011, और 5011 . पर जाने के लिए,0,0
HII, HII,2,0
hi, नमस्ते,2,0
no probs, समस्या नहीं,1,0
"Okay, I you are unable to find any information, you can also call to our toll free number i.e 040656236. they'll personally assist you and resolve all your queries. I hope that was helpful?"," ठीक है, मुझे आपको कोई जानकारी नहीं मिल रही है, आप हमारे टोल फ्री नंबर यानी 040656236 पर भी कॉल कर सकते हैं। वे व्यक्तिगत रूप से आपकी सहायता करेंगे और आपके सभी प्रश्नों का समाधान करेंगे। मुझे आशा है कि यह मददगार था?",3,2
H, एच,0,0
Please give me a minute to look into the issue., कृपया मुझे इस मुद्दे को देखने के लिए एक मिनट दें।,2,0
"since there is no reply, this conversation will get disconnected automatically within 30 seconds. 
"," चूंकि कोई उत्तर नहीं है, यह वार्तालाप 30 सेकंड के भीतर अपने आप डिस्कनेक्ट हो जाएगा।",2,1
Are you there?, क्या आप हैं?,1,0
"I'm very sorry for the inconvenience caused to you. May I know your name,last four digits of your SSN and credit card number?"," आपको हुई असुविधा के लिए मुझे बहुत खेद है। क्या मैं आपका नाम, आपके एसएसएन के अंतिम चार अंक और क्रेडिट कार्ड नंबर जान सकता हूं?",3,1
3.80989E+15,3.80989E+15,0,0
I'd be glad to assist you with the query., मुझे आपकी क्वेरी में सहायता करने में खुशी होगी।,3,2
Thank you for your patience.The transfer of $150 from account 8753 to account 8752 has been initiated. You'll be receiving a confirmation mail shortly. Is there anything I may do for you?,आपके धैर्य के लिए धन्यवाद। 8753 खाते से 8752 खाते में $150 का हस्तांतरण शुरू कर दिया गया है। आपको शीघ्र ही एक पुष्टिकरण मेल प्राप्त होगा। क्या मैं तुम्हारे लिए कुछ कर सकता हूँ?,3,0
yes.., हां..,2,0
"And also, how much amount you wish to transfer?"," और साथ ही, आप कितनी राशि ट्रांसफर करना चाहते हैं?",1,0
"Hi, i would like to check the account balance of savings account"," नमस्ते, मैं बचत खाते के खाते की शेष राशि की जांच करना चाहता हूं",3,0
hi, नमस्ते,2,0
"I'm sorry for the inconvenience, Could you please let me know the last 4 digits of SSN and the last 4 digits of credit card account number?"," असुविधा के लिए मुझे खेद है, क्या आप कृपया मुझे एसएसएन के अंतिम 4 अंक और क्रेडिट कार्ड खाता संख्या के अंतिम 4 अंक बता सकते हैं?",3,0
so please close, तो कृपया बंद करें,2,0
